@RELATION snake_game_train

@ATTRIBUTE snake_length NUMERIC
@ATTRIBUTE snake_x {WEST, EAST}
@ATTRIBUTE snake_y {NORTH, SOUTH}
@ATTRIBUTE food_x {WEST, EAST}
@ATTRIBUTE food_y {NORTH, SOUTH}
@ATTRIBUTE rel_pos {0, 1, 2, 3}
@ATTRIBUTE score NUMERIC
@ATTRIBUTE direction {NORTH, SOUTH, WEST, EAST}

@DATA
46,WEST,NORTH,WEST,SOUTH,2,2577,EAST
54,EAST,NORTH,EAST,NORTH,1,3017,SOUTH
6,EAST,SOUTH,EAST,SOUTH,1,192,NORTH
25,EAST,SOUTH,WEST,SOUTH,0,1397,WEST
5,WEST,NORTH,WEST,NORTH,3,65,NORTH
14,EAST,NORTH,EAST,NORTH,0,696,NORTH
26,EAST,NORTH,EAST,NORTH,1,1426,NORTH
45,WEST,NORTH,WEST,NORTH,0,2510,WEST
50,EAST,NORTH,EAST,NORTH,1,2754,EAST
9,EAST,NORTH,EAST,NORTH,1,395,EAST
13,EAST,NORTH,EAST,SOUTH,3,664,EAST
26,EAST,NORTH,EAST,NORTH,1,1427,NORTH
24,EAST,NORTH,EAST,NORTH,1,1352,NORTH
27,EAST,NORTH,EAST,SOUTH,2,1500,SOUTH
10,EAST,NORTH,EAST,NORTH,1,421,EAST
36,EAST,SOUTH,WEST,NORTH,0,2126,SOUTH
40,EAST,SOUTH,EAST,SOUTH,1,2208,EAST
17,WEST,SOUTH,WEST,NORTH,0,914,WEST
17,WEST,SOUTH,WEST,NORTH,0,950,NORTH
23,WEST,SOUTH,EAST,NORTH,1,1380,NORTH
18,WEST,SOUTH,WEST,NORTH,1,937,SOUTH
12,EAST,SOUTH,WEST,NORTH,0,562,NORTH
22,EAST,SOUTH,WEST,SOUTH,2,1241,WEST
50,WEST,SOUTH,EAST,NORTH,1,2781,NORTH
8,WEST,NORTH,EAST,NORTH,3,365,EAST
41,EAST,SOUTH,WEST,SOUTH,0,2280,SOUTH
26,EAST,SOUTH,EAST,SOUTH,2,1567,SOUTH
31,WEST,NORTH,WEST,NORTH,2,1853,WEST
35,EAST,SOUTH,EAST,SOUTH,2,2067,SOUTH
31,WEST,NORTH,WEST,NORTH,2,1856,WEST
35,WEST,NORTH,EAST,SOUTH,3,2070,EAST
9,WEST,SOUTH,EAST,NORTH,1,414,EAST
17,EAST,SOUTH,WEST,SOUTH,2,934,WEST
24,WEST,SOUTH,EAST,NORTH,1,1410,EAST
14,EAST,NORTH,EAST,NORTH,0,680,NORTH
40,WEST,NORTH,EAST,SOUTH,3,2289,EAST
11,WEST,SOUTH,EAST,SOUTH,3,576,WEST
4,WEST,SOUTH,WEST,SOUTH,3,45,EAST
4,WEST,NORTH,WEST,NORTH,3,82,SOUTH
3,WEST,NORTH,EAST,NORTH,3,-15,SOUTH
21,EAST,SOUTH,EAST,SOUTH,3,1158,EAST
37,WEST,NORTH,EAST,NORTH,1,2089,EAST
10,EAST,SOUTH,WEST,SOUTH,0,490,NORTH
41,EAST,SOUTH,WEST,SOUTH,0,2279,SOUTH
14,WEST,NORTH,EAST,NORTH,3,685,EAST
32,WEST,NORTH,WEST,NORTH,1,1919,NORTH
19,WEST,NORTH,EAST,SOUTH,3,1089,EAST
16,EAST,SOUTH,EAST,NORTH,1,843,EAST
9,EAST,SOUTH,EAST,NORTH,1,450,EAST
16,EAST,SOUTH,EAST,SOUTH,3,863,EAST
16,EAST,SOUTH,EAST,NORTH,1,849,NORTH
20,WEST,SOUTH,WEST,SOUTH,2,1099,SOUTH
6,WEST,SOUTH,WEST,SOUTH,3,218,SOUTH
3,WEST,NORTH,WEST,SOUTH,2,-17,WEST
40,WEST,NORTH,EAST,SOUTH,3,2280,EAST
37,EAST,SOUTH,EAST,SOUTH,1,2149,EAST
11,EAST,SOUTH,EAST,SOUTH,3,548,SOUTH
22,WEST,SOUTH,WEST,SOUTH,0,1241,NORTH
24,EAST,NORTH,EAST,NORTH,1,1355,NORTH
17,WEST,NORTH,WEST,NORTH,0,886,NORTH
18,WEST,SOUTH,WEST,NORTH,1,1001,NORTH
19,WEST,SOUTH,WEST,SOUTH,3,1060,EAST
12,WEST,NORTH,WEST,NORTH,0,601,EAST
13,EAST,NORTH,EAST,SOUTH,3,650,EAST
27,EAST,SOUTH,EAST,NORTH,1,1618,EAST
12,EAST,SOUTH,EAST,NORTH,0,538,EAST
31,EAST,NORTH,WEST,NORTH,2,1882,WEST
8,WEST,NORTH,WEST,SOUTH,2,319,NORTH
35,WEST,SOUTH,WEST,NORTH,0,1965,EAST
8,WEST,NORTH,WEST,SOUTH,2,321,WEST
10,EAST,SOUTH,WEST,SOUTH,2,486,SOUTH
35,EAST,SOUTH,WEST,NORTH,0,1959,NORTH
3,WEST,NORTH,EAST,SOUTH,3,-7,EAST
32,WEST,SOUTH,WEST,SOUTH,0,1781,WEST
22,WEST,SOUTH,EAST,SOUTH,3,1280,EAST
28,EAST,SOUTH,WEST,SOUTH,2,1604,WEST
40,WEST,NORTH,EAST,SOUTH,3,2232,SOUTH
34,EAST,NORTH,EAST,NORTH,1,2007,EAST
18,WEST,NORTH,WEST,SOUTH,2,974,SOUTH
47,WEST,SOUTH,WEST,SOUTH,3,2641,WEST
22,WEST,SOUTH,EAST,SOUTH,3,1299,EAST
10,WEST,NORTH,WEST,SOUTH,2,479,SOUTH
16,WEST,NORTH,WEST,NORTH,0,790,NORTH
10,EAST,NORTH,EAST,NORTH,2,496,WEST
13,WEST,NORTH,WEST,NORTH,0,617,WEST
34,EAST,NORTH,WEST,NORTH,0,2020,WEST
14,WEST,NORTH,EAST,NORTH,1,756,EAST
3,WEST,NORTH,EAST,SOUTH,3,-18,EAST
38,EAST,NORTH,WEST,SOUTH,2,2142,SOUTH
12,EAST,SOUTH,EAST,NORTH,1,618,NORTH
17,WEST,NORTH,WEST,NORTH,0,892,NORTH
23,EAST,SOUTH,EAST,NORTH,1,1298,NORTH
13,EAST,NORTH,EAST,SOUTH,3,668,EAST
13,EAST,NORTH,EAST,SOUTH,2,616,SOUTH
25,EAST,SOUTH,EAST,SOUTH,3,1479,EAST
30,WEST,SOUTH,WEST,SOUTH,0,1728,WEST
16,EAST,SOUTH,EAST,NORTH,1,854,EAST
43,WEST,NORTH,EAST,NORTH,3,2413,NORTH
3,WEST,SOUTH,WEST,SOUTH,0,-47,SOUTH
19,WEST,NORTH,EAST,SOUTH,3,1062,EAST
35,WEST,NORTH,WEST,NORTH,0,1920,WEST
9,EAST,NORTH,EAST,NORTH,1,426,NORTH
35,EAST,SOUTH,EAST,SOUTH,2,2068,SOUTH
6,WEST,SOUTH,WEST,SOUTH,1,148,EAST
39,EAST,SOUTH,WEST,SOUTH,2,2317,SOUTH
16,WEST,SOUTH,WEST,NORTH,0,807,NORTH
23,EAST,NORTH,EAST,NORTH,0,1344,EAST
9,WEST,NORTH,EAST,NORTH,1,409,NORTH
15,WEST,NORTH,WEST,NORTH,1,790,EAST
35,WEST,NORTH,EAST,SOUTH,3,2093,SOUTH
16,EAST,SOUTH,WEST,SOUTH,0,873,WEST
9,EAST,SOUTH,EAST,SOUTH,2,426,SOUTH
16,WEST,NORTH,WEST,NORTH,0,779,NORTH
29,EAST,NORTH,WEST,NORTH,0,1609,WEST
32,WEST,SOUTH,WEST,SOUTH,0,1793,EAST
53,EAST,SOUTH,EAST,SOUTH,1,2973,EAST
17,EAST,SOUTH,WEST,SOUTH,2,937,SOUTH
18,WEST,SOUTH,WEST,NORTH,0,928,NORTH
8,WEST,SOUTH,WEST,SOUTH,1,337,NORTH
8,WEST,NORTH,WEST,SOUTH,2,312,SOUTH
29,EAST,NORTH,WEST,NORTH,0,1629,SOUTH
34,EAST,NORTH,WEST,SOUTH,2,1923,EAST
26,WEST,SOUTH,EAST,NORTH,1,1463,NORTH
8,WEST,NORTH,EAST,NORTH,3,354,SOUTH
44,EAST,SOUTH,WEST,NORTH,0,2444,WEST
32,EAST,SOUTH,EAST,SOUTH,1,1883,EAST
28,EAST,NORTH,EAST,SOUTH,2,1698,WEST
13,WEST,NORTH,WEST,NORTH,0,631,EAST
33,WEST,NORTH,WEST,SOUTH,2,1984,WEST
5,WEST,NORTH,WEST,NORTH,3,49,EAST
3,EAST,NORTH,EAST,SOUTH,3,-22,SOUTH
3,EAST,NORTH,EAST,NORTH,3,-44,EAST
22,WEST,SOUTH,WEST,SOUTH,0,1253,NORTH
31,WEST,SOUTH,WEST,SOUTH,2,1713,WEST
53,WEST,SOUTH,EAST,SOUTH,1,2985,WEST
16,WEST,NORTH,WEST,NORTH,0,784,NORTH
14,WEST,NORTH,EAST,NORTH,3,687,NORTH
22,WEST,SOUTH,WEST,SOUTH,0,1302,WEST
11,WEST,SOUTH,WEST,NORTH,1,523,NORTH
12,EAST,SOUTH,EAST,NORTH,1,610,NORTH
6,WEST,SOUTH,EAST,SOUTH,1,199,EAST
28,EAST,NORTH,EAST,SOUTH,2,1690,SOUTH
35,EAST,NORTH,WEST,NORTH,0,1934,WEST
23,EAST,SOUTH,EAST,NORTH,1,1286,NORTH
15,WEST,SOUTH,WEST,SOUTH,1,767,EAST
15,WEST,NORTH,EAST,NORTH,1,763,EAST
35,EAST,SOUTH,WEST,NORTH,0,1961,NORTH
54,EAST,SOUTH,EAST,NORTH,1,3068,NORTH
37,WEST,NORTH,WEST,NORTH,0,2197,WEST
28,EAST,NORTH,EAST,NORTH,1,1544,NORTH
3,WEST,NORTH,WEST,SOUTH,2,-39,SOUTH
14,WEST,NORTH,EAST,NORTH,1,752,EAST
12,EAST,SOUTH,WEST,NORTH,0,567,WEST
14,EAST,NORTH,EAST,NORTH,0,674,NORTH
10,WEST,SOUTH,WEST,SOUTH,0,481,WEST
10,EAST,NORTH,EAST,NORTH,1,407,EAST
29,WEST,SOUTH,WEST,SOUTH,1,1676,NORTH
25,EAST,NORTH,EAST,NORTH,0,1415,WEST
41,WEST,SOUTH,WEST,SOUTH,0,2272,WEST
9,EAST,NORTH,EAST,NORTH,0,413,NORTH
30,WEST,SOUTH,WEST,SOUTH,0,1729,WEST
8,EAST,SOUTH,WEST,SOUTH,2,364,WEST
23,WEST,SOUTH,EAST,NORTH,1,1308,EAST
39,WEST,SOUTH,WEST,SOUTH,0,2211,WEST
27,EAST,NORTH,EAST,SOUTH,2,1521,EAST
29,EAST,NORTH,WEST,NORTH,0,1628,SOUTH
21,WEST,NORTH,EAST,SOUTH,3,1189,EAST
11,EAST,SOUTH,EAST,SOUTH,3,556,SOUTH
31,EAST,NORTH,WEST,NORTH,2,1885,WEST
27,WEST,NORTH,EAST,SOUTH,3,1550,SOUTH
48,WEST,SOUTH,EAST,NORTH,1,2689,NORTH
30,WEST,NORTH,WEST,NORTH,1,1644,NORTH
15,EAST,NORTH,EAST,NORTH,3,772,WEST
13,WEST,SOUTH,WEST,NORTH,0,625,WEST
46,WEST,SOUTH,WEST,SOUTH,2,2546,SOUTH
12,WEST,NORTH,EAST,SOUTH,3,596,SOUTH
10,EAST,SOUTH,WEST,SOUTH,2,479,SOUTH
34,EAST,NORTH,WEST,SOUTH,2,1894,SOUTH
11,EAST,SOUTH,EAST,SOUTH,2,474,SOUTH
13,EAST,NORTH,EAST,SOUTH,3,640,EAST
13,WEST,SOUTH,WEST,NORTH,0,609,NORTH
5,WEST,NORTH,WEST,NORTH,2,42,SOUTH
39,EAST,SOUTH,WEST,SOUTH,2,2332,WEST
30,WEST,SOUTH,WEST,SOUTH,2,1744,SOUTH
15,EAST,NORTH,EAST,SOUTH,3,805,SOUTH
14,EAST,NORTH,EAST,NORTH,3,655,EAST
20,WEST,NORTH,WEST,SOUTH,2,1108,WEST
33,WEST,NORTH,WEST,SOUTH,2,1981,WEST
7,WEST,SOUTH,WEST,NORTH,1,276,NORTH
23,EAST,NORTH,EAST,NORTH,0,1343,NORTH
27,EAST,NORTH,EAST,SOUTH,3,1525,EAST
38,EAST,SOUTH,EAST,SOUTH,2,2248,EAST
16,WEST,SOUTH,WEST,NORTH,0,814,NORTH
6,WEST,SOUTH,WEST,SOUTH,2,200,EAST
33,WEST,SOUTH,WEST,SOUTH,0,1965,WEST
48,EAST,NORTH,EAST,NORTH,0,2653,NORTH
21,WEST,SOUTH,EAST,SOUTH,3,1172,SOUTH
25,EAST,SOUTH,WEST,SOUTH,2,1427,SOUTH
33,EAST,SOUTH,EAST,NORTH,1,1972,NORTH
46,WEST,NORTH,WEST,SOUTH,2,2567,SOUTH
40,EAST,SOUTH,EAST,SOUTH,1,2214,EAST
12,EAST,SOUTH,EAST,NORTH,1,541,EAST
22,EAST,SOUTH,EAST,SOUTH,3,1270,SOUTH
13,EAST,NORTH,EAST,SOUTH,3,641,EAST
17,EAST,SOUTH,WEST,SOUTH,2,936,WEST
5,WEST,SOUTH,WEST,SOUTH,3,121,SOUTH
35,WEST,NORTH,WEST,NORTH,0,1928,WEST
14,EAST,SOUTH,WEST,SOUTH,2,711,SOUTH
10,EAST,SOUTH,WEST,SOUTH,2,484,SOUTH
25,WEST,NORTH,EAST,SOUTH,3,1501,EAST
9,EAST,NORTH,EAST,NORTH,0,414,NORTH
5,WEST,SOUTH,WEST,SOUTH,3,122,SOUTH
32,WEST,SOUTH,EAST,SOUTH,3,1892,EAST
18,WEST,NORTH,WEST,NORTH,0,927,NORTH
9,EAST,SOUTH,EAST,NORTH,1,445,EAST
6,WEST,SOUTH,WEST,SOUTH,1,208,SOUTH
30,WEST,SOUTH,WEST,NORTH,1,1662,SOUTH
11,EAST,SOUTH,WEST,SOUTH,2,518,NORTH
33,WEST,NORTH,WEST,SOUTH,2,2009,SOUTH
17,EAST,SOUTH,WEST,SOUTH,2,954,SOUTH
9,EAST,SOUTH,EAST,SOUTH,2,423,SOUTH
25,WEST,SOUTH,EAST,SOUTH,3,1496,EAST
24,EAST,NORTH,EAST,NORTH,3,1351,NORTH
50,EAST,NORTH,EAST,NORTH,1,2756,EAST
10,EAST,SOUTH,WEST,SOUTH,2,473,SOUTH
7,WEST,SOUTH,WEST,NORTH,0,242,EAST
6,EAST,SOUTH,EAST,SOUTH,1,193,NORTH
5,WEST,NORTH,WEST,NORTH,3,52,EAST
3,WEST,NORTH,WEST,SOUTH,2,-4,EAST
16,WEST,SOUTH,WEST,NORTH,0,810,NORTH
27,WEST,NORTH,EAST,SOUTH,3,1538,EAST
35,WEST,NORTH,EAST,SOUTH,3,2097,WEST
40,EAST,SOUTH,EAST,SOUTH,0,2259,EAST
25,EAST,NORTH,EAST,NORTH,3,1410,EAST
34,EAST,NORTH,EAST,NORTH,1,2004,EAST
8,WEST,SOUTH,WEST,SOUTH,3,372,SOUTH
29,WEST,SOUTH,WEST,SOUTH,3,1670,EAST
23,EAST,SOUTH,EAST,SOUTH,0,1356,NORTH
25,EAST,NORTH,EAST,NORTH,0,1392,WEST
33,WEST,SOUTH,WEST,SOUTH,2,1973,SOUTH
7,WEST,NORTH,EAST,SOUTH,3,310,SOUTH
20,WEST,NORTH,WEST,NORTH,0,1140,WEST
5,WEST,SOUTH,WEST,SOUTH,1,114,EAST
18,WEST,NORTH,WEST,SOUTH,3,982,EAST
8,EAST,SOUTH,WEST,SOUTH,2,375,SOUTH
21,WEST,SOUTH,WEST,SOUTH,2,1204,SOUTH
20,WEST,SOUTH,WEST,SOUTH,3,1085,SOUTH
48,WEST,SOUTH,EAST,NORTH,1,2702,EAST
51,EAST,NORTH,EAST,SOUTH,3,2842,SOUTH
9,WEST,NORTH,WEST,NORTH,0,403,NORTH
49,EAST,NORTH,EAST,SOUTH,2,2725,SOUTH
33,EAST,SOUTH,EAST,NORTH,1,1973,NORTH
27,EAST,SOUTH,EAST,SOUTH,2,1511,EAST
25,WEST,NORTH,EAST,SOUTH,3,1502,SOUTH
17,WEST,SOUTH,WEST,NORTH,0,912,NORTH
3,EAST,NORTH,EAST,NORTH,3,-28,EAST
25,EAST,NORTH,EAST,NORTH,0,1398,SOUTH
8,WEST,SOUTH,WEST,SOUTH,3,297,SOUTH
17,WEST,SOUTH,WEST,SOUTH,0,929,WEST
12,WEST,SOUTH,WEST,NORTH,0,550,NORTH
5,WEST,NORTH,WEST,NORTH,2,164,WEST
35,WEST,NORTH,EAST,SOUTH,3,2074,EAST
35,EAST,NORTH,WEST,NORTH,0,1943,NORTH
14,WEST,NORTH,EAST,NORTH,1,757,EAST
33,WEST,NORTH,EAST,NORTH,1,1853,NORTH
6,WEST,NORTH,WEST,NORTH,2,231,EAST
3,WEST,NORTH,EAST,NORTH,3,-4,EAST
35,EAST,SOUTH,EAST,SOUTH,2,2037,SOUTH
34,WEST,NORTH,WEST,NORTH,0,2018,WEST
34,EAST,NORTH,WEST,SOUTH,2,1915,SOUTH
6,WEST,SOUTH,WEST,SOUTH,1,146,EAST
37,WEST,NORTH,EAST,NORTH,1,2092,EAST
27,EAST,SOUTH,EAST,SOUTH,2,1488,SOUTH
9,EAST,NORTH,EAST,NORTH,1,422,EAST
26,EAST,SOUTH,EAST,SOUTH,0,1554,WEST
20,WEST,NORTH,WEST,NORTH,0,1130,WEST
44,EAST,SOUTH,WEST,NORTH,0,2434,WEST
21,WEST,SOUTH,EAST,SOUTH,3,1171,SOUTH
53,WEST,SOUTH,EAST,SOUTH,1,2987,WEST
6,WEST,SOUTH,WEST,SOUTH,3,223,EAST
8,EAST,NORTH,EAST,NORTH,1,350,EAST
13,WEST,NORTH,WEST,NORTH,0,614,NORTH
10,WEST,SOUTH,WEST,SOUTH,2,459,SOUTH
14,EAST,NORTH,EAST,NORTH,0,689,WEST
17,EAST,NORTH,EAST,SOUTH,2,934,EAST
41,WEST,SOUTH,WEST,SOUTH,0,2274,WEST
51,EAST,NORTH,EAST,SOUTH,3,2854,EAST
20,WEST,SOUTH,WEST,SOUTH,3,1081,SOUTH
27,EAST,SOUTH,EAST,NORTH,1,1639,EAST
46,WEST,SOUTH,WEST,SOUTH,2,2545,SOUTH
12,EAST,NORTH,EAST,NORTH,0,597,NORTH
13,EAST,NORTH,WEST,NORTH,0,689,EAST
11,WEST,SOUTH,WEST,SOUTH,2,505,WEST
17,WEST,SOUTH,WEST,SOUTH,0,913,WEST
39,WEST,SOUTH,WEST,SOUTH,2,2221,WEST
3,WEST,NORTH,EAST,SOUTH,3,-9,SOUTH
3,EAST,NORTH,EAST,SOUTH,3,-37,EAST
14,WEST,NORTH,EAST,NORTH,1,748,NORTH
34,WEST,NORTH,WEST,SOUTH,2,1898,EAST
40,EAST,SOUTH,EAST,SOUTH,3,2247,WEST
24,WEST,NORTH,WEST,NORTH,0,1414,WEST
32,WEST,NORTH,WEST,NORTH,1,1929,EAST
31,EAST,NORTH,WEST,NORTH,2,1877,WEST
24,WEST,SOUTH,EAST,NORTH,1,1411,EAST
10,EAST,SOUTH,WEST,SOUTH,0,483,WEST
33,WEST,NORTH,WEST,SOUTH,2,2002,SOUTH
32,EAST,SOUTH,EAST,SOUTH,1,1880,EAST
16,WEST,SOUTH,WEST,SOUTH,0,862,WEST
33,EAST,SOUTH,EAST,NORTH,1,1964,NORTH
3,EAST,NORTH,EAST,NORTH,3,-36,EAST
31,WEST,NORTH,WEST,SOUTH,2,1736,EAST
15,WEST,NORTH,EAST,NORTH,3,766,SOUTH
10,WEST,SOUTH,EAST,SOUTH,1,449,SOUTH
24,WEST,SOUTH,EAST,NORTH,1,1396,EAST
43,WEST,NORTH,EAST,NORTH,3,2401,SOUTH
31,WEST,NORTH,WEST,NORTH,2,1855,WEST
25,WEST,SOUTH,WEST,SOUTH,3,1483,SOUTH
29,EAST,NORTH,WEST,NORTH,0,1598,WEST
14,WEST,NORTH,WEST,NORTH,3,708,SOUTH
11,EAST,NORTH,EAST,SOUTH,2,480,SOUTH
40,EAST,SOUTH,EAST,SOUTH,2,2254,WEST
5,WEST,NORTH,WEST,NORTH,1,140,NORTH
37,EAST,NORTH,WEST,NORTH,0,2222,NORTH
26,EAST,NORTH,EAST,NORTH,1,1433,NORTH
12,WEST,SOUTH,EAST,NORTH,1,571,EAST
50,WEST,NORTH,EAST,NORTH,1,2763,NORTH
14,WEST,NORTH,EAST,NORTH,1,754,EAST
33,WEST,NORTH,EAST,NORTH,1,1829,EAST
16,WEST,SOUTH,EAST,NORTH,1,865,NORTH
22,WEST,SOUTH,WEST,SOUTH,2,1311,SOUTH
34,WEST,NORTH,EAST,NORTH,1,2046,EAST
13,WEST,NORTH,EAST,SOUTH,3,676,EAST
9,EAST,NORTH,EAST,NORTH,1,399,EAST
35,WEST,NORTH,EAST,SOUTH,3,2089,EAST
40,WEST,NORTH,EAST,SOUTH,3,2281,EAST
12,WEST,SOUTH,EAST,NORTH,1,573,EAST
29,WEST,NORTH,WEST,NORTH,0,1586,WEST
6,WEST,SOUTH,WEST,SOUTH,1,206,EAST
17,EAST,SOUTH,EAST,SOUTH,0,928,SOUTH
22,WEST,SOUTH,EAST,SOUTH,3,1283,SOUTH
9,WEST,NORTH,WEST,NORTH,0,410,WEST
45,WEST,NORTH,WEST,NORTH,0,2520,WEST
24,WEST,SOUTH,EAST,NORTH,1,1403,EAST
5,WEST,SOUTH,WEST,SOUTH,2,88,SOUTH
25,WEST,SOUTH,WEST,SOUTH,3,1487,SOUTH
25,EAST,SOUTH,WEST,SOUTH,0,1393,WEST
26,EAST,NORTH,WEST,NORTH,2,1468,WEST
4,WEST,SOUTH,WEST,NORTH,0,-4,NORTH
40,EAST,NORTH,EAST,SOUTH,3,2244,NORTH
4,WEST,SOUTH,WEST,NORTH,0,-7,WEST
27,EAST,SOUTH,EAST,NORTH,0,1616,EAST
5,WEST,NORTH,WEST,NORTH,3,57,EAST
27,EAST,NORTH,EAST,SOUTH,2,1501,SOUTH
35,EAST,SOUTH,EAST,SOUTH,2,2069,SOUTH
6,WEST,SOUTH,WEST,SOUTH,3,214,EAST
12,WEST,NORTH,WEST,NORTH,0,544,NORTH
13,EAST,NORTH,EAST,SOUTH,3,657,EAST
12,EAST,SOUTH,EAST,NORTH,1,617,NORTH
10,EAST,NORTH,EAST,NORTH,1,408,EAST
10,WEST,NORTH,WEST,SOUTH,2,471,WEST
50,WEST,SOUTH,EAST,NORTH,1,2797,WEST
3,WEST,NORTH,WEST,NORTH,2,-4,EAST
25,WEST,SOUTH,WEST,SOUTH,3,1503,SOUTH
15,EAST,NORTH,WEST,SOUTH,2,752,SOUTH
5,WEST,NORTH,WEST,NORTH,1,133,EAST
34,WEST,SOUTH,EAST,NORTH,1,2058,NORTH
16,WEST,SOUTH,WEST,NORTH,0,806,WEST
11,WEST,SOUTH,WEST,NORTH,1,533,EAST
16,EAST,NORTH,WEST,SOUTH,2,849,WEST
26,EAST,SOUTH,EAST,SOUTH,2,1561,WEST
10,EAST,NORTH,EAST,NORTH,2,483,WEST
10,EAST,SOUTH,WEST,SOUTH,0,457,WEST
3,WEST,NORTH,WEST,SOUTH,2,-20,SOUTH
9,WEST,SOUTH,WEST,SOUTH,0,381,EAST
6,WEST,SOUTH,WEST,SOUTH,3,227,WEST
22,WEST,SOUTH,EAST,SOUTH,3,1276,EAST
23,EAST,NORTH,EAST,NORTH,0,1265,NORTH
33,WEST,NORTH,EAST,NORTH,1,1857,EAST
3,WEST,NORTH,EAST,NORTH,1,-4,EAST
9,WEST,NORTH,EAST,NORTH,1,408,EAST
7,EAST,SOUTH,EAST,SOUTH,3,282,EAST
13,EAST,NORTH,EAST,SOUTH,3,645,EAST
6,WEST,NORTH,WEST,NORTH,2,223,SOUTH
8,EAST,SOUTH,WEST,SOUTH,2,368,WEST
18,WEST,NORTH,WEST,NORTH,1,1006,SOUTH
24,EAST,NORTH,EAST,NORTH,1,1375,EAST
15,WEST,NORTH,WEST,NORTH,3,796,SOUTH
20,WEST,SOUTH,WEST,SOUTH,1,1143,NORTH
49,EAST,SOUTH,EAST,SOUTH,2,2703,SOUTH
27,WEST,NORTH,EAST,SOUTH,3,1534,SOUTH
54,EAST,NORTH,EAST,NORTH,1,3018,SOUTH
25,EAST,NORTH,EAST,NORTH,0,1421,WEST
4,WEST,SOUTH,WEST,NORTH,0,2,WEST
34,WEST,SOUTH,WEST,SOUTH,2,1880,SOUTH
27,EAST,SOUTH,EAST,SOUTH,2,1489,SOUTH
5,WEST,SOUTH,WEST,SOUTH,0,74,SOUTH
34,EAST,NORTH,EAST,NORTH,3,2014,EAST
8,WEST,SOUTH,WEST,SOUTH,2,291,SOUTH
19,WEST,NORTH,EAST,SOUTH,3,1072,EAST
27,EAST,SOUTH,EAST,SOUTH,3,1512,EAST
12,EAST,SOUTH,EAST,SOUTH,3,569,EAST
28,EAST,SOUTH,EAST,NORTH,1,1575,WEST
24,EAST,NORTH,EAST,NORTH,1,1356,NORTH
16,WEST,NORTH,WEST,NORTH,0,792,NORTH
12,EAST,SOUTH,EAST,SOUTH,3,565,EAST
7,WEST,SOUTH,EAST,SOUTH,3,295,EAST
19,EAST,NORTH,EAST,SOUTH,2,1056,SOUTH
23,EAST,SOUTH,EAST,NORTH,0,1269,NORTH
14,WEST,NORTH,EAST,NORTH,1,760,SOUTH
9,WEST,SOUTH,EAST,NORTH,1,419,EAST
50,WEST,NORTH,EAST,NORTH,1,2766,NORTH
18,WEST,NORTH,WEST,NORTH,1,990,NORTH
14,EAST,SOUTH,EAST,NORTH,0,723,WEST
3,WEST,NORTH,WEST,NORTH,2,-15,WEST
4,EAST,SOUTH,WEST,NORTH,0,30,SOUTH
43,WEST,NORTH,EAST,NORTH,3,2405,EAST
33,WEST,SOUTH,WEST,SOUTH,0,1966,WEST
32,WEST,NORTH,WEST,NORTH,1,1912,EAST
37,WEST,NORTH,EAST,NORTH,1,2108,WEST
13,EAST,NORTH,EAST,SOUTH,3,647,SOUTH
7,EAST,NORTH,EAST,NORTH,0,212,NORTH
22,EAST,SOUTH,EAST,SOUTH,1,1268,EAST
8,WEST,NORTH,WEST,SOUTH,2,313,EAST
11,EAST,SOUTH,EAST,SOUTH,3,542,SOUTH
8,EAST,NORTH,EAST,NORTH,2,302,EAST
33,WEST,NORTH,WEST,SOUTH,2,1985,WEST
17,WEST,NORTH,WEST,NORTH,0,884,NORTH
3,WEST,SOUTH,WEST,SOUTH,0,-46,SOUTH
32,EAST,SOUTH,EAST,SOUTH,1,1878,EAST
10,WEST,NORTH,WEST,SOUTH,2,487,SOUTH
8,WEST,SOUTH,WEST,SOUTH,2,357,SOUTH
7,WEST,SOUTH,EAST,SOUTH,3,297,EAST
43,WEST,NORTH,EAST,NORTH,3,2409,EAST
45,WEST,NORTH,WEST,NORTH,0,2509,WEST
24,EAST,NORTH,WEST,NORTH,0,1438,WEST
24,EAST,SOUTH,WEST,SOUTH,0,1449,WEST
6,WEST,SOUTH,WEST,SOUTH,1,211,EAST
25,WEST,SOUTH,WEST,SOUTH,3,1490,SOUTH
44,EAST,SOUTH,WEST,NORTH,0,2439,WEST
5,WEST,SOUTH,WEST,SOUTH,0,67,WEST
46,WEST,NORTH,WEST,SOUTH,2,2566,SOUTH
29,EAST,NORTH,WEST,NORTH,0,1602,NORTH
7,EAST,NORTH,EAST,NORTH,1,217,EAST
36,EAST,NORTH,EAST,NORTH,0,2132,EAST
23,WEST,SOUTH,EAST,NORTH,1,1390,EAST
11,WEST,SOUTH,WEST,NORTH,1,541,EAST
48,EAST,NORTH,EAST,NORTH,1,2667,EAST
13,EAST,SOUTH,WEST,NORTH,0,644,WEST
36,WEST,SOUTH,WEST,NORTH,0,2101,NORTH
29,EAST,SOUTH,WEST,NORTH,0,1749,NORTH
22,EAST,SOUTH,WEST,SOUTH,2,1230,WEST
35,WEST,NORTH,EAST,SOUTH,3,2091,EAST
11,WEST,SOUTH,WEST,SOUTH,2,490,SOUTH
19,WEST,NORTH,WEST,SOUTH,2,1071,EAST
30,EAST,NORTH,EAST,NORTH,1,1804,EAST
