@RELATION snake_game_train

@ATTRIBUTE snake_length NUMERIC
@ATTRIBUTE snake_x {WEST, EAST}
@ATTRIBUTE snake_y {NORTH, SOUTH}
@ATTRIBUTE food_x {WEST, EAST}
@ATTRIBUTE food_y {NORTH, SOUTH}
@ATTRIBUTE rel_pos {0, 1, 2, 3}
@ATTRIBUTE score NUMERIC
@ATTRIBUTE direction {NORTH, SOUTH, WEST, EAST}

@DATA
23,EAST,NORTH,EAST,NORTH,0,1262,NORTH
25,EAST,NORTH,EAST,NORTH,0,1389,NORTH
7,WEST,SOUTH,EAST,SOUTH,3,293,EAST
17,WEST,NORTH,WEST,SOUTH,2,849,SOUTH
8,EAST,NORTH,EAST,NORTH,1,331,EAST
36,EAST,SOUTH,WEST,NORTH,0,2112,WEST
9,EAST,SOUTH,EAST,NORTH,1,452,NORTH
32,WEST,NORTH,WEST,NORTH,1,1928,EAST
23,EAST,SOUTH,EAST,SOUTH,0,1365,EAST
11,EAST,NORTH,EAST,SOUTH,2,494,SOUTH
9,WEST,SOUTH,WEST,NORTH,0,413,NORTH
38,EAST,NORTH,WEST,SOUTH,2,2153,SOUTH
18,WEST,NORTH,WEST,SOUTH,2,973,SOUTH
44,EAST,SOUTH,WEST,NORTH,0,2432,NORTH
3,WEST,NORTH,WEST,SOUTH,2,-10,EAST
25,EAST,SOUTH,EAST,SOUTH,3,1489,EAST
26,EAST,NORTH,WEST,NORTH,2,1479,WEST
31,EAST,NORTH,WEST,NORTH,2,1881,WEST
24,WEST,SOUTH,EAST,NORTH,1,1416,WEST
34,EAST,NORTH,WEST,SOUTH,2,1926,EAST
25,WEST,SOUTH,WEST,SOUTH,3,1489,SOUTH
41,EAST,SOUTH,WEST,SOUTH,2,2294,SOUTH
54,EAST,NORTH,EAST,NORTH,1,3050,NORTH
8,WEST,SOUTH,WEST,SOUTH,2,294,SOUTH
16,WEST,NORTH,WEST,NORTH,0,791,NORTH
6,WEST,SOUTH,WEST,SOUTH,3,212,EAST
10,EAST,NORTH,EAST,NORTH,1,417,EAST
7,EAST,NORTH,EAST,NORTH,1,205,SOUTH
15,EAST,SOUTH,WEST,SOUTH,2,728,SOUTH
23,EAST,SOUTH,EAST,NORTH,1,1290,EAST
28,WEST,SOUTH,WEST,SOUTH,2,1592,WEST
10,WEST,NORTH,EAST,NORTH,1,438,NORTH
11,WEST,SOUTH,WEST,NORTH,1,540,EAST
7,WEST,NORTH,WEST,NORTH,0,226,WEST
44,WEST,NORTH,WEST,NORTH,0,2420,WEST
25,EAST,NORTH,WEST,SOUTH,2,1443,SOUTH
6,EAST,SOUTH,EAST,SOUTH,1,190,NORTH
3,WEST,NORTH,EAST,NORTH,3,-21,EAST
19,WEST,SOUTH,WEST,SOUTH,2,1056,EAST
21,EAST,NORTH,EAST,SOUTH,3,1166,EAST
54,EAST,NORTH,EAST,NORTH,1,3051,NORTH
6,WEST,SOUTH,WEST,SOUTH,1,147,EAST
23,EAST,SOUTH,EAST,NORTH,1,1282,EAST
29,EAST,NORTH,WEST,NORTH,0,1738,WEST
14,EAST,NORTH,EAST,NORTH,1,724,EAST
11,WEST,SOUTH,WEST,SOUTH,2,509,WEST
53,EAST,SOUTH,EAST,SOUTH,1,2995,WEST
31,WEST,SOUTH,WEST,SOUTH,2,1708,SOUTH
9,EAST,NORTH,EAST,NORTH,0,419,NORTH
41,WEST,SOUTH,WEST,SOUTH,2,2259,SOUTH
29,EAST,NORTH,WEST,NORTH,0,1605,WEST
15,EAST,NORTH,EAST,SOUTH,3,822,NORTH
26,WEST,NORTH,WEST,NORTH,2,1458,WEST
14,WEST,NORTH,EAST,NORTH,1,758,SOUTH
23,EAST,SOUTH,EAST,NORTH,1,1287,EAST
16,WEST,SOUTH,EAST,NORTH,1,856,NORTH
32,WEST,SOUTH,WEST,SOUTH,0,1773,WEST
14,WEST,NORTH,EAST,NORTH,3,668,EAST
34,EAST,NORTH,WEST,NORTH,0,2048,WEST
53,WEST,SOUTH,EAST,SOUTH,1,2984,NORTH
18,WEST,NORTH,WEST,NORTH,1,987,EAST
13,WEST,NORTH,EAST,SOUTH,3,672,EAST
24,EAST,NORTH,EAST,NORTH,1,1354,WEST
9,EAST,SOUTH,WEST,SOUTH,2,380,SOUTH
10,WEST,SOUTH,EAST,NORTH,1,462,NORTH
40,EAST,SOUTH,EAST,SOUTH,3,2249,WEST
5,EAST,NORTH,WEST,SOUTH,2,126,WEST
22,EAST,SOUTH,WEST,SOUTH,2,1246,SOUTH
12,WEST,SOUTH,WEST,NORTH,0,553,WEST
14,EAST,SOUTH,WEST,SOUTH,2,689,WEST
26,EAST,NORTH,WEST,NORTH,2,1469,WEST
15,EAST,SOUTH,WEST,SOUTH,2,737,SOUTH
35,EAST,NORTH,EAST,SOUTH,2,2092,WEST
13,EAST,NORTH,EAST,SOUTH,3,670,EAST
26,WEST,SOUTH,EAST,NORTH,1,1475,NORTH
28,EAST,NORTH,EAST,SOUTH,2,1697,SOUTH
39,EAST,SOUTH,WEST,SOUTH,2,2325,SOUTH
21,WEST,NORTH,EAST,SOUTH,3,1184,EAST
48,WEST,SOUTH,EAST,NORTH,1,2707,NORTH
43,WEST,NORTH,EAST,NORTH,3,2394,EAST
50,WEST,NORTH,EAST,NORTH,1,2772,NORTH
10,WEST,SOUTH,EAST,SOUTH,1,426,SOUTH
20,WEST,SOUTH,WEST,SOUTH,2,1102,SOUTH
35,EAST,SOUTH,EAST,SOUTH,0,2062,SOUTH
16,EAST,NORTH,EAST,SOUTH,3,868,SOUTH
16,EAST,NORTH,WEST,SOUTH,2,845,SOUTH
21,WEST,NORTH,EAST,SOUTH,3,1176,SOUTH
13,WEST,SOUTH,WEST,NORTH,0,610,NORTH
30,EAST,NORTH,EAST,NORTH,1,1802,EAST
19,EAST,NORTH,EAST,SOUTH,2,1052,SOUTH
49,EAST,NORTH,EAST,SOUTH,2,2743,WEST
36,EAST,NORTH,EAST,NORTH,1,2137,EAST
19,WEST,NORTH,WEST,SOUTH,2,1069,SOUTH
13,EAST,NORTH,WEST,NORTH,0,691,NORTH
5,EAST,NORTH,WEST,NORTH,2,165,SOUTH
10,EAST,SOUTH,WEST,SOUTH,2,471,SOUTH
25,EAST,SOUTH,EAST,SOUTH,3,1494,EAST
13,EAST,NORTH,EAST,SOUTH,3,629,NORTH
27,WEST,NORTH,EAST,SOUTH,3,1533,EAST
24,EAST,NORTH,WEST,NORTH,2,1430,WEST
35,EAST,NORTH,WEST,NORTH,0,1944,NORTH
26,EAST,SOUTH,EAST,SOUTH,2,1569,SOUTH
37,WEST,NORTH,EAST,NORTH,1,2098,NORTH
20,WEST,SOUTH,WEST,SOUTH,2,1098,SOUTH
43,WEST,NORTH,EAST,NORTH,3,2408,EAST
27,EAST,NORTH,EAST,NORTH,0,1609,NORTH
9,EAST,SOUTH,EAST,NORTH,1,455,NORTH
29,EAST,NORTH,WEST,NORTH,0,1616,WEST
22,EAST,SOUTH,WEST,SOUTH,2,1231,WEST
10,WEST,SOUTH,WEST,SOUTH,2,462,SOUTH
12,WEST,NORTH,WEST,NORTH,0,535,NORTH
11,WEST,NORTH,WEST,NORTH,0,508,NORTH
30,WEST,SOUTH,WEST,SOUTH,0,1738,WEST
18,WEST,NORTH,WEST,SOUTH,2,966,SOUTH
8,WEST,NORTH,WEST,SOUTH,3,302,WEST
13,WEST,SOUTH,WEST,NORTH,0,623,WEST
16,WEST,SOUTH,WEST,SOUTH,0,821,WEST
31,EAST,NORTH,WEST,NORTH,2,1879,SOUTH
10,EAST,SOUTH,EAST,SOUTH,1,423,EAST
28,EAST,SOUTH,EAST,SOUTH,2,1675,SOUTH
20,EAST,SOUTH,EAST,SOUTH,1,1142,EAST
7,EAST,SOUTH,WEST,NORTH,0,237,NORTH
27,EAST,NORTH,EAST,SOUTH,3,1521,SOUTH
9,EAST,NORTH,EAST,NORTH,1,421,EAST
27,WEST,NORTH,EAST,SOUTH,3,1529,SOUTH
7,WEST,NORTH,WEST,NORTH,1,267,NORTH
33,WEST,NORTH,EAST,NORTH,1,1864,NORTH
46,WEST,SOUTH,WEST,SOUTH,2,2548,WEST
21,EAST,SOUTH,EAST,SOUTH,0,1165,WEST
15,EAST,NORTH,WEST,SOUTH,2,747,SOUTH
25,EAST,SOUTH,EAST,SOUTH,3,1475,SOUTH
22,WEST,SOUTH,WEST,SOUTH,0,1296,WEST
37,WEST,NORTH,EAST,NORTH,1,2099,NORTH
35,WEST,NORTH,EAST,SOUTH,3,2090,EAST
21,EAST,SOUTH,EAST,SOUTH,3,1152,EAST
22,WEST,SOUTH,WEST,SOUTH,0,1306,WEST
54,EAST,SOUTH,EAST,NORTH,1,3069,NORTH
21,WEST,NORTH,EAST,SOUTH,3,1196,SOUTH
14,WEST,NORTH,EAST,NORTH,3,683,EAST
27,EAST,NORTH,EAST,SOUTH,2,1507,SOUTH
10,WEST,NORTH,EAST,NORTH,1,436,NORTH
17,EAST,SOUTH,WEST,SOUTH,2,941,WEST
51,EAST,SOUTH,EAST,SOUTH,2,2824,SOUTH
13,WEST,SOUTH,WEST,NORTH,0,611,NORTH
13,WEST,NORTH,WEST,NORTH,2,662,WEST
36,EAST,NORTH,EAST,NORTH,1,2133,EAST
34,WEST,NORTH,EAST,NORTH,1,2032,EAST
27,WEST,NORTH,EAST,SOUTH,3,1539,SOUTH
44,EAST,NORTH,WEST,NORTH,0,2460,NORTH
50,EAST,NORTH,EAST,NORTH,1,2757,EAST
3,WEST,NORTH,WEST,SOUTH,2,-7,EAST
23,EAST,NORTH,EAST,NORTH,1,1348,EAST
9,WEST,SOUTH,WEST,SOUTH,0,375,WEST
11,WEST,SOUTH,WEST,NORTH,1,530,NORTH
20,WEST,SOUTH,WEST,SOUTH,2,1101,WEST
3,EAST,NORTH,EAST,SOUTH,2,-51,SOUTH
32,WEST,SOUTH,EAST,SOUTH,1,1890,SOUTH
31,EAST,NORTH,WEST,NORTH,2,1869,WEST
30,WEST,SOUTH,WEST,SOUTH,2,1745,SOUTH
50,WEST,SOUTH,EAST,NORTH,1,2789,NORTH
30,WEST,SOUTH,WEST,SOUTH,0,1731,WEST
10,WEST,SOUTH,WEST,SOUTH,2,458,SOUTH
41,EAST,SOUTH,WEST,SOUTH,2,2292,SOUTH
10,EAST,SOUTH,WEST,SOUTH,2,480,SOUTH
19,WEST,NORTH,EAST,SOUTH,3,1090,EAST
7,WEST,SOUTH,WEST,NORTH,0,243,EAST
12,EAST,SOUTH,WEST,NORTH,0,570,SOUTH
14,EAST,SOUTH,EAST,NORTH,0,709,NORTH
21,EAST,SOUTH,EAST,SOUTH,3,1155,EAST
44,EAST,SOUTH,WEST,NORTH,0,2443,WEST
13,WEST,NORTH,EAST,SOUTH,3,687,WEST
7,EAST,NORTH,EAST,NORTH,1,202,EAST
13,WEST,NORTH,EAST,SOUTH,3,681,EAST
35,EAST,SOUTH,EAST,SOUTH,2,2026,SOUTH
9,EAST,SOUTH,EAST,NORTH,1,456,NORTH
38,EAST,SOUTH,EAST,SOUTH,2,2243,SOUTH
29,WEST,NORTH,WEST,NORTH,1,1722,WEST
9,EAST,SOUTH,EAST,SOUTH,2,413,WEST
